barrels08,barrelsA08,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,baseModel,tCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
13.52318181818182,0.0,0.0,18,17.821,0,0.0,0.0,0.0,0.0,-1,-1,0.0,403.95454545454544,22,21.5976,0,0.0,0.0,6.0,3.6,Front-Wheel Drive,40,SIDI,-1,2350,0,Regular,Regular Gasoline,-1,-1,29,29.1471,0,0.0,0.0,0.0,0.0,0,0,31407,0,19,Chevrolet,Impala,Y,False,0,105,0,0.0,0.0,0.0,0.0,Automatic 6-spd,22.3,0.0,41.6,0.0,Large Cars,2012,-2500,Impala,,,,,,GMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
13.52318181818182,3.991875,0.0,18,17.821,14,13.5056,0.0,0.0,0.0,-1,-1,393.4375,403.95454545454544,22,21.5976,16,16.3283,0.0,6.0,3.6,Front-Wheel Drive,41,SIDI; FFV,-1,2350,2750,Gasoline or E85,Regular Gasoline,-1,-1,29,29.1471,22,21.9304,0.0,0.0,0.0,0,0,31408,0,19,Chevrolet,Impala,Y,False,0,105,0,0.0,0.0,0.0,0.0,Automatic 6-spd,22.3,16.9,41.6,31.3,Large Cars,2012,-2500,Impala,,FFV,E85,283,,GMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
11.442692307692308,0.0,0.0,22,22.2521,0,0.0,0.0,0.0,0.0,-1,-1,0.0,341.8076923076923,26,26.0305,0,0.0,0.0,4.0,2.0,Front-Wheel Drive,15,SIDI,-1,2000,0,Regular,Regular Gasoline,-1,-1,33,32.8476,0,0.0,0.0,0.0,0.0,0,0,31409,0,16,Hyundai,Sonata,Y,False,0,104,0,0.0,0.0,0.0,0.0,Automatic 6-spd,28.4,0.0,47.5,0.0,Large Cars,2012,-750,Sonata,T,,,,,HYX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
11.018888888888888,0.0,0.0,24,23.554,0,0.0,0.0,0.0,0.0,-1,-1,0.0,329.1481481481481,27,27.2667,0,0.0,0.0,4.0,2.4,Front-Wheel Drive,16,SIDI,-1,1950,0,Regular,Regular Gasoline,-1,-1,34,33.7731,0,0.0,0.0,0.0,0.0,0,0,31410,0,16,Hyundai,Sonata,Y,False,0,104,0,0.0,0.0,0.0,0.0,Automatic 6-spd,30.2388,0.0,49.0,0.0,Large Cars,2012,-500,Sonata,,,,,,HYX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
11.018888888888888,0.0,0.0,24,23.5267,0,0.0,0.0,0.0,0.0,-1,-1,0.0,329.1481481481481,27,27.2285,0,0.0,0.0,4.0,2.4,Front-Wheel Drive,17,SIDI,-1,1950,0,Regular,Regular Gasoline,-1,-1,34,33.7116,0,0.0,0.0,0.0,0.0,0,0,31411,0,16,Hyundai,Sonata,Y,False,0,104,0,0.0,0.0,0.0,0.0,Manual 6-spd,30.2,0.0,48.9,0.0,Large Cars,2012,-500,Sonata,,,,,,HYX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
9.2971875,0.0,0.0,34,33.6056,0,0.0,0.0,0.0,0.0,-1,-1,0.0,277.71875,32,31.8665,0,0.0,0.0,4.0,2.5,Front-Wheel Drive,88,,-1,1650,0,Regular,Regular Gasoline,-1,-1,30,29.9708,0,0.0,0.0,0.0,0.0,0,0,31479,0,0,Ford,Escape Hybrid FWD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (variable gear ratios),45.2,0.0,42.9,0.0,Sport Utility Vehicle - 2WD,2012,1000,Escape,,Hybrid,,,330V Ni-MH,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jun 02 00:00:00 EDT 2020,Y,0,0,0
14.167142857142858,3.991875,0.0,19,19.0736,14,13.8284,0.0,0.0,0.0,-1,-1,393.4375,423.1904761904762,21,21.2717,16,15.5548,0.0,6.0,3.0,Front-Wheel Drive,99,FFV,-1,2500,2750,Gasoline or E85,Regular Gasoline,-1,-1,25,24.759,18,18.3558,0.0,0.0,0.0,0,0,31480,0,0,Ford,Escape FWD FFV,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 6-spd,24.0,17.4,34.8,25.8,Sport Utility Vehicle - 2WD,2012,-3250,Escape,,FFV,E85,282,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
12.935217391304349,0.0,0.0,21,20.5938,0,0.0,0.0,0.0,0.0,-1,-1,0.0,386.39130434782606,23,23.1827,0,0.0,0.0,4.0,2.5,Front-Wheel Drive,100,,-1,2250,0,Regular,Regular Gasoline,-1,-1,27,27.3915,0,0.0,0.0,0.0,0.0,0,0,31481,0,0,Ford,Escape FWD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 6-spd,26.0888,0.0,38.8544,0.0,Sport Utility Vehicle - 2WD,2012,-2000,Escape,,,,,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
11.9004,0.0,0.0,23,22.5366,0,0.0,0.0,0.0,0.0,-1,-1,0.0,355.48,25,24.5694,0,0.0,0.0,4.0,2.5,Front-Wheel Drive,101,,-1,2100,0,Regular,Regular Gasoline,-1,-1,28,27.6137,0,0.0,0.0,0.0,0.0,0,0,31482,0,0,Ford,Escape FWD,N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 5-spd,28.8,0.0,39.2,0.0,Sport Utility Vehicle - 2WD,2012,-1250,Escape,,,,,,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016,,0,0,0
10.25896551724138,0.0,0.0,30,30.117,0,0.0,0.0,0.0,0.0,-1,-1,0.0,306.4482758620689,29,28.5814,0,0.0,0.0,4.0,2.5,All-Wheel Drive,89,,-1,1800,0,Regular,Regular Gasoline,-1,-1,27,26.9047,0,0.0,0.0,0.0,0.0,0,0,31509,0,0,Ford,Escape Hybrid AWD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (variable gear ratios),39.8484,0.0,38.099,0.0,Sport Utility Vehicle - 4WD,2012,250,Escape,,Hybrid,,,330V Ni-MH,FMX,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jun 02 00:00:00 EDT 2020,Y,0,0,0
